,Importance
ZNF580,0.025275981
RHBDD2,0.025275791
MBNL3,0.025275553
CTDSP2,0.025275439
RPGR,0.025273314
HIC2,0.02527324
ANKRD30BL,0.02527246
FAM161B,0.025272334
CCDC85C,0.025271408
LOC100130950,0.02527114
IER3IP1,0.025270967
GOSR1,0.0252706
ZNF219,0.025270097
KCNK5,0.025269926
TMED1,0.025269868
VRK1,0.025269512
ZNF284,0.025269473
SUCLG1,0.02526904
CCDC106,0.02526805
LANCL1,0.025267804
SS18,0.025267398
NDC80,0.025267318
LEPREL2,0.025266794
PANK1,0.02526608
PDP2,0.025266064
C14orf142,0.025265904
ORMDL1,0.02526584
LGMN,0.025265282
MSLN,0.025263987
HNRNPUL1,0.025263881
SECTM1,0.025262868
CORO2A,0.02526244
RBFA,0.025262
ZCCHC7,0.02526009
ZSCAN12,0.025259962
UBE2S,0.025259526
VASP,0.025259089
SRPK2,0.025258651
DAAM1,0.02525827
CIR1,0.025258098
CHFR,0.025256751
MUS81,0.025256744
OLA1,0.025256637
CRY1,0.025256636
C17orf49,0.025255358
LAPTM4A,0.025253987
SLC45A3,0.025253564
TMEM80,0.025252791
RTKN,0.025251864
ANKRD9,0.025251776
ANXA11,0.025251027
CBFA2T2,0.025250645
SLC25A25,0.02525059
C1orf115,0.025250042
HERC2P9,0.02524951
GIMAP1,0.025249233
FABP5,0.025248563
OTUD3,0.025247961
ZFPL1,0.025247365
CXorf21,0.025247209
LRCH2,0.02524718
NBEA,0.025246296
POLQ,0.025245786
EEPD1,0.025245776
LLGL1,0.02524555
DNAJA1,0.025245544
TRAF3IP2,0.025245337
CENPBD1,0.025244357
DDIT4,0.025244212
MFSD6,0.0252442
SEMA3B,0.025243193
TNS1,0.02524296
CTSH,0.025242781
DCHS1,0.025242083
LUC7L,0.025242
ANKRD13C,0.02524174
ASB7,0.025241723
RNFT1,0.025241612
NHSL2,0.025241373
SPCS2,0.025241373
MDM1,0.02523828
SLC2A4RG,0.025236258
ZCCHC14,0.025236256
RBM41,0.0252361
PPIF,0.025236096
PRSS22,0.02523526
DCUN1D5,0.025234947
GCAT,0.025234811
CASC3,0.025234224
CHRDL1,0.02523402
TMEM108,0.02523371
PABPC1,0.02523335
KIAA1107,0.025233159
ZNF609,0.025232995
NCAPD3,0.025231948
UGT8,0.02523073
SPRY4,0.025230205
ETV3,0.025230162
CAB39,0.025229575
TAGLN2,0.025229447
ANXA9,0.025229337
ESF1,0.025229106
DYRK1A,0.025228295
PRRG2,0.025228025
IPO4,0.025228022
SHANK3,0.025227934
MMRN2,0.025226943
INADL,0.025226265
GLB1L2,0.025225641
PCSK7,0.025224814
NLRC3,0.025224796
C7orf49,0.025224337
OPTN,0.025223961
MB21D2,0.025223503
ATN1,0.02522135
SLPI,0.025220906
TIPARP,0.0252209
BCCIP,0.025220836
BZW2,0.025220364
ATP6V0D1,0.025220161
RAB17,0.025219887
NAPEPLD,0.025218366
LRRC23,0.025217054
NCKAP1,0.025216807
ZNF48,0.02521669
TAF10,0.025216257
TUBGCP2,0.025216045
NUSAP1,0.025215298
MTFR1,0.025214918
RANBP17,0.0252144
GCA,0.025214106
NAA30,0.025213514
SUSD1,0.02521349
EXD3,0.025212856
SLC25A40,0.02521229
ACSF3,0.025212133
LTBP3,0.02521212
SMYD2,0.02521194
MFHAS1,0.025211701
FNBP1L,0.025210535
STEAP4,0.025210528
LOC440300,0.025210382
RPLP0,0.02521011
ZNF182,0.025209902
DNAJB14,0.02520975
DENND2D,0.025208702
SP140L,0.025208123
CCNY,0.025207127
CPVL,0.025206959
NEB,0.025206802
ADPRH,0.025206454
MCM9,0.025206437
AKT3,0.025206355
PACRGL,0.025205761
CUX1,0.025205733
PPP4R1,0.025205584
ATF5,0.025205458
LCLAT1,0.02520526
TCEAL1,0.025204657
ANGPTL1,0.025204543
FAM20B,0.025204154
FBXO44,0.025203263
CCDC51,0.025203144
CCDC22,0.025203109
ZBTB7C,0.025203105
MBP,0.02520263
ROBO4,0.025201833
PITPNB,0.025201468
OXCT1,0.02520111
HPCAL1,0.025200874
TOR1B,0.025200872
CD80,0.025200792
GLIS2,0.025200045
CANT1,0.02519998
INTS1,0.02519988
ZSCAN29,0.025199806
SAP30,0.025199443
IFT172,0.025199415
IPP,0.025199028
CCDC102B,0.025197873
SLC25A28,0.025197743
KLHDC3,0.025197353
CCDC124,0.025197351
APEX2,0.02519724
ROMO1,0.02519714
TMEM98,0.02519667
PARP15,0.02519658
AGTPBP1,0.025196318
TTLL4,0.025196224
MRTO4,0.025195835
MYCBP,0.025192583
PTCD2,0.02519239
HMHA1,0.025191428
C3orf52,0.025190676
ZNF865,0.02519039
FSIP2,0.02519035
PURA,0.025190227
PTCH2,0.025189279
GOT2,0.02518927
PMPCB,0.025189022
PMS2P4,0.025188893
DNAJC14,0.025188362
PRMT3,0.025187245
ELL,0.025187144
ELOF1,0.025187138
CENPV,0.025186986
JAK3,0.025186842
DCUN1D3,0.025186779
MARK2,0.025186548
NCAPG,0.025185613
FNIP2,0.025185473
EPSTI1,0.0251851
SNHG1,0.0251851
CASS4,0.025184356
PHYHD1,0.02518419
TMEM51,0.025183355
TBC1D12,0.025182093
KRTCAP3,0.025181854
TNFRSF21,0.025181523
TIGD5,0.025180733
STK39,0.025180696
MYH14,0.02518067
JPH1,0.025180375
ANLN,0.025180228
FGR,0.02517937
HIATL2,0.025179302
FBXO45,0.025179276
SLC39A10,0.025178896
PTDSS2,0.025178673
NETO2,0.02517855
MAP9,0.0251776
CA11,0.025177471
KLHL9,0.025177274
IFNAR1,0.02517698
SLC30A9,0.02517688
SIX5,0.025176873
NOP2,0.025175655
H19,0.025175482
LEPREL4,0.02517447
TSSC4,0.025174113
NFX1,0.025173573
DLEU7,0.025173279
VPS13B,0.025172107
ACOT13,0.025171965
RAPGEFL1,0.025171759
ZNF503,0.025171665
ATXN2,0.025171366
WDR78,0.025171252
PRRC1,0.02517029
CABLES2,0.025170248
NUMBL,0.02516984
CYB5D2,0.02516898
HSD17B4,0.025168696
ST6GALNAC4,0.025168447
SLC38A2,0.025168264
C9orf156,0.025167853
ASPH,0.025167739
LPCAT1,0.02516647
UBXN1,0.025166422
OXSR1,0.025164807
C12orf45,0.025164632
TMEM9B,0.025164125
EIF3D,0.025164124
ZCCHC24,0.025163678
ASNSD1,0.025163652
C1orf122,0.025162963
CXorf40A,0.025162468
NDST2,0.025161296
PTPN9,0.025161276
HIST4H4,0.02516106
GRIK1,0.025160901
MAP3K3,0.025160868
FAM89B,0.025160706
NAA20,0.025160221
CHD7,0.025159927
AFG3L1P,0.025159843
ZNF341,0.025159443
DISP1,0.025159119
TCEB1,0.025158934
UHRF1,0.025158798
RPL39,0.025158226
FARS2,0.025157964
CD28,0.025157861
SCAF11,0.025157819
SDCCAG3,0.025157535
TMEM39A,0.025157215
CPE,0.025156729
PVRL4,0.025156407
SAFB2,0.02515546
ZNF304,0.025154298
BOLA1,0.025154268
ZNF654,0.025153037
CCDC85B,0.025151374
PLS3,0.025151135
TMEM110-MUSTN1,0.025150666
FKBP3,0.025149612
CENPJ,0.025148809
PPAP2B,0.025148125
EPHB3,0.02514748
SCARNA7,0.025147473
FAM115C,0.025147088
NEAT1,0.025147071
6-Mar,0.025146807
USP49,0.025145182
PMS2P5,0.02514518
HIST1H2BG,0.025144517
RBM15,0.025143899
SERINC3,0.02514389
GLRX5,0.025143176
SNX10,0.025143
MYL9,0.025142917
RCAN3,0.025142798
MVK,0.025142733
ABCE1,0.025142679
CLIC5,0.02514004
PUS1,0.025139794
SERF2,0.02513861
SPOPL,0.02513814
ASCC3,0.025138104
APOL3,0.025138048
RNF214,0.025137177
TLK2,0.025137177
LOC285074,0.02513692
CHMP2B,0.025136383
CPA3,0.025135847
CMC1,0.025135044
C21orf59,0.025135042
AZGP1,0.025134837
M6PR,0.025134703
UBE2E2,0.025134657
MOCOS,0.025133876
MEX3C,0.025133764
RREB1,0.025132978
TXNDC15,0.025132691
FKBP5,0.025132207
POC5,0.025130866
DNAJC1,0.025130505
GPR157,0.025129884
PRH2,0.025129566
ZNF146,0.025129547
DNMBP,0.025129044
AFG3L2,0.025128758
PITHD1,0.02512875
ST6GALNAC1,0.025128717
ULK4,0.025128363
CHI3L2,0.025128236
DAAM2,0.025127651
ANKRD29,0.025127532
SPNS2,0.025127439
F2RL1,0.025126098
SPATS2L,0.025125744
TM9SF4,0.025124313
PITPNM2,0.025123924
DCLK2,0.025123717
CXCR6,0.025122596
EVPL,0.025121415
EFS,0.025120223
TRAF4,0.025120024
TSC1,0.025119904
FGL2,0.02511979
CWC22,0.025119664
YTHDC2,0.02511955
ARMC5,0.025119515
NFE2L3,0.025119176
THAP5,0.025118075
ATF7IP,0.025117958
ZSCAN18,0.02511671
ASCC2,0.02511605
CENPQ,0.02511591
PLCB2,0.02511539
AGTRAP,0.025115373
DDX28,0.025115104
LMO4,0.025114859
ZNF204P,0.025114747
TGFBRAP1,0.025114745
RFXANK,0.025114737
CACNA2D2,0.025114667
RECQL5,0.025114648
CXorf23,0.025114214
BTN3A2,0.02511393
CHCHD3,0.025113434
C19orf54,0.02511248
ZNF271,0.0251123
TMEM14C,0.025112152
NOL8,0.025112005
DPH2,0.02511186
VILL,0.02511119
SLA,0.02511049
ITGB2,0.025110275
DPY19L1P1,0.02510905
ZFYVE19,0.025108822
SNX8,0.025108723
C19orf47,0.025108704
BRAP,0.025108699
IFT57,0.025108492
TRIM3,0.025105981
ZBTB41,0.02510499
TPX2,0.025104878
CLEC2D,0.025104038
SLC25A16,0.025103835
COL5A2,0.025102947
ERAP2,0.025102103
DYNC1I2,0.025101872
CHST10,0.025101632
EBAG9,0.02510143
TMEM214,0.025101313
RAPGEF4,0.025101176
SURF4,0.025100503
SLX4,0.025099883
CCDC68,0.025098445
DNAJC25,0.02509746
ELMOD2,0.025096307
TUG1,0.025095731
SREBF2,0.025094213
ZFP91,0.025094004
NFKBIZ,0.025092486
DZIP1,0.025091564
COMMD1,0.025090924
SNAP47,0.025090924
EXOG,0.0250909
APBA2,0.025090806
PARP4,0.025089642
LOC100506730,0.02508939
SLC25A39,0.025089147
FAM174A,0.025088822
GPR161,0.025088547
ETV4,0.025088198
NHP2L1,0.025088074
FSCN1,0.025088064
FAM20A,0.025087962
TMEM87A,0.02508712
FAM111B,0.025087
MYPOP,0.02508691
TEX10,0.025086643
ZNF140,0.025085285
SPIN2B,0.025085246
PPP2R1B,0.025085004
GUSBP1,0.025084862
SGSM3,0.02508458
PLLP,0.025084347
NFAM1,0.025084173
DPYSL3,0.025083808
TREM1,0.025083773
ENOSF1,0.025082828
PHACTR4,0.025082672
FASTK,0.025081983
SMARCA1,0.025081724
GRSF1,0.025081128
CCDC109B,0.025081122
GPRIN2,0.025080917
ANKRD28,0.025079973
PQLC2,0.025078984
LCORL,0.025078857
KIF24,0.025078837
DLGAP4,0.025078056
CREBZF,0.025076305
HKR1,0.025075948
GNPTAB,0.025075376
TIAL1,0.025075113
LOC646762,0.025073739
CLPX,0.025073089
VCPIP1,0.025072724
ZDHHC24,0.025072576
GPR107,0.025072219
CD14,0.025072163
ATF1,0.025071954
LOC642236,0.025071256
DNAJC21,0.025071235
EXOC1,0.025071023
WDPCP,0.02507067
CDCA7,0.0250702
SNX27,0.025069473
PCDHGB5,0.025068164
C5orf22,0.025068162
STRBP,0.025067778
SLC5A6,0.025066726
CEACAM1,0.02506668
TPM2,0.025066486
SLC25A12,0.025066009
KIAA1683,0.025065871
MT1X,0.025065534
COQ10B,0.025065424
CLNS1A,0.025065295
TBCEL,0.025064742
E4F1,0.025064705
STARD3NL,0.02506426
PLTP,0.025063403
CD99L2,0.025063187
SLC38A10,0.025062406
TRIB1,0.025061002
NBPF9,0.025060859
ZMAT3,0.025060501
SELO,0.02506045
USP24,0.025059469
RBFOX2,0.025059452
CLEC4A,0.025059193
EFNA4,0.025058547
ZCCHC17,0.025058268
HDDC3,0.02505824
ZKSCAN1,0.02505746
GTF3A,0.025056928
BAK1,0.025056478
ZNF3,0.025056357
PRKRA,0.025055606
RECK,0.025055407
ASB1,0.02505484
GPRC5D,0.025054488
SNX33,0.025054226
HSPE1,0.025054207
APLF,0.02505363
NFYC,0.025052885
ADCK2,0.025052393
MRS2,0.025052106
JAGN1,0.025051944
RAB2B,0.025050074
ZNF880,0.025049841
TPRG1,0.025049841
RWDD1,0.025048971
ZSCAN21,0.025048768
NDUFA4L2,0.025047174
ZNRF1,0.025046766
EBPL,0.02504536
HK2,0.025044583
LOC100129917,0.025044477
ZNHIT1,0.025044406
TOMM40,0.02504413
UBE2G2,0.025043258
FANCF,0.025042927
CDKL1,0.02504281
INTS8,0.02504257
APOOL,0.025042297
CTDSPL2,0.025042288
NGLY1,0.025041305
OFD1,0.025040636
CSRP2,0.02504062
PPIL2,0.025039596
FAM173B,0.02503871
EHHADH,0.02503838
MAP3K9,0.025038213
SLC6A6,0.025037419
PAFAH2,0.025036482
POR,0.025035152
EIF5B,0.025034903
DHCR24,0.025034565
DNTTIP1,0.025034187
ZNF808,0.025033714
LAX1,0.025030969
PAXIP1,0.025030859
ATG12,0.025030334
C2orf76,0.025030138
C11orf57,0.02502987
AMIGO1,0.025029631
TCF12,0.025029568
USP5,0.025028972
GPR180,0.025028914
TRIM4,0.025028633
ENPP2,0.025028579
DARS2,0.02502832
TACSTD2,0.025027245
GRB7,0.02502691
FBXL13,0.025025615
BYSL,0.02502537
PAK4,0.025024267
MTRF1,0.025023255
CRYZ,0.02502188
SPON2,0.025021825
WNK1,0.025021205
PLEKHO1,0.02502095
MGST1,0.025020437
B3GNT1,0.025020368
MAPK6,0.025020244
LAIR1,0.025020124
C8orf4,0.025019059
ARHGEF7,0.025018914
MYO1E,0.025018727
CNN3,0.025018683
USPL1,0.025018012
RCCD1,0.025017967
ITGA7,0.025017735
GPX1,0.02501744
CENPE,0.025016937
FAM198B,0.025016336
TMEM209,0.025016312
AP3B1,0.02501599
CUEDC2,0.0250152
DDOST,0.025015164
FBXL4,0.025014758
LYSMD3,0.025014132
PARP6,0.025014007
KAT2B,0.02501379
TMC8,0.025013411
RUNX2,0.025012465
IL32,0.025011988
MCM3,0.025011184
TAPT1,0.025010558
POLA1,0.025010346
ZNF117,0.025010232
RFK,0.025010144
EML2,0.025009125
GPN1,0.025009045
DMWD,0.025008945
MDM4,0.02500884
PRC1,0.025007283
CYB5A,0.025007099
CDK9,0.02500707
CEP135,0.025006242
FGD6,0.025006147
ATG16L1,0.025005512
DNAL4,0.02500536
ZNF574,0.025004592
SUGT1P3,0.025004113
MTHFD1L,0.025002439
CCL19,0.025002059
USP30,0.025002012
GLE1,0.025001774
ZNF592,0.025001047
KCNC3,0.02500072
CTR9,0.025000244
KLRB1,0.02499986
KIF11,0.024999766
AP2B1,0.024999345
LIN7C,0.024999179
DGCR6,0.02499906
BTBD9,0.024998812
DTX3,0.024998747
ETV5,0.024998175
C11orf1,0.024996517
SULT1A1,0.024996402
NAT10,0.024995672
USMG5,0.024995092
LAPTM4B,0.024994576
ARF1,0.024994481
OCIAD1,0.024994409
SLC25A23,0.024994247
PDZD2,0.024994142
EIF3F,0.02499386
NFIX,0.024993375
CDKN2B-AS1,0.024992263
SHISA5,0.02499219
ZNF420,0.024991946
TRIM14,0.024991866
ARPC4,0.024991756
C1orf21,0.024991311
FBXO36,0.024990806
NRIP1,0.024990136
HIRA,0.024990117
APOL6,0.024989404
USP20,0.024989124
ENTPD1,0.024989065
TTBK2,0.024989009
ALKBH7,0.024988422
RNF170,0.024987543
CRAMP1L,0.024987468
CCDC142,0.024987375
SNX20,0.02498737
CC2D1B,0.024986872
VWA2,0.024986742
DCTN4,0.024986526
RRN3P3,0.024986388
GNB2L1,0.024984745
DBNDD1,0.024983967
CDKN2AIP,0.024983203
ZNF358,0.024982927
PCLO,0.024981495
MYO1B,0.02498127
LEPROT,0.024980552
DEXI,0.024980314
TTC39B,0.024980223
TP53INP1,0.0249795
DUSP12,0.024979105
PPT1,0.024978397
ZDHHC23,0.02497831
DHX57,0.024978196
C18orf25,0.024978159
ATP8B1,0.024977894
INCENP,0.024977805
GPHN,0.024977803
LRRC8C,0.024977693
DNAL1,0.024977649
DDX27,0.024977481
RNASEH2A,0.024977168
SETD5,0.02497617
HERC2,0.024976075
SERAC1,0.024975933
NOLC1,0.024974473
KIF1B,0.024973277
WSB2,0.024973126
MUL1,0.024973033
TSEN2,0.024972528
GPR176,0.024971487
PARM1,0.024971155
UBAC1,0.024970697
SFI1,0.024970688
RRBP1,0.024970634
TMEM167B,0.024970615
SPINT1,0.02496958
PWWP2A,0.02496954
BTRC,0.024969447
LILRB2,0.024968324
DNAJC7,0.024968296
CLTB,0.024968164
C20orf196,0.024967667
FAM134A,0.024967285
PAFAH1B2,0.024966277
KCNC4,0.024965879
MGEA5,0.024965852
PDIA4,0.024965532
ASB8,0.024965525
EZR,0.024965232
TPP2,0.02496439
ZRANB2,0.024964241
KLF16,0.024964103
CCDC15,0.024964103
PALM,0.024963168
DPY19L4,0.024962893
LRCH3,0.024962196
SNX17,0.024961986
PPM1M,0.024961114
ATRN,0.024960985
LRSAM1,0.024960546
PICK1,0.024959931
COBLL1,0.024959536
MYADM,0.024959316
LRRC48,0.024958162
VPS53,0.024957685
ZNF417,0.024956945
MCM5,0.02495617
SLC7A8,0.024956059
TMEM33,0.024955833
CCDC69,0.024955632
HECTD2,0.02495396
NINJ2,0.024953688
PRDM11,0.024952138
C16orf13,0.024951732
C11orf58,0.024951462
JMY,0.02495075
ABTB1,0.024950506
SH3BGRL3,0.024950348
PPP1R12A,0.02494873
THAP4,0.024946772
MYO5C,0.0249457
MXD3,0.024944985
PHF7,0.024944983
SNX11,0.024944572
C15orf38-AP3S2,0.024944095
TAZ,0.024944061
DSEL,0.024943627
PRKAR1B,0.024943385
IFT80,0.024943002
AGPAT5,0.02494139
CCDC125,0.02494093
ZNF521,0.024940845
NARFL,0.024939891
ANKS6,0.024939885
MS4A6A,0.02493974
KATNAL2,0.024939388
NUDT18,0.024939144
NIPA1,0.024938675
IFIT1,0.02493838
PCSK5,0.024937628
MPZL3,0.02493762
NR1H3,0.024937497
ARHGEF3,0.02493739
QPCT,0.024936916
GOLGA8A,0.024936667
USP22,0.024935514
MCM6,0.024933446
WDR5,0.024931202
CCBL1,0.02493087
CMTM3,0.024930362
GAN,0.024930129
CCDC61,0.024929527
SKA2,0.024929423
STK11,0.024929192
C1RL,0.024928488
USP46,0.0249281
TXNDC9,0.024928002
DENND1C,0.024926692
TTC21B,0.024926342
LDOC1,0.024925824
CHM,0.02492558
CD164,0.024925428
SYPL1,0.024925116
DIAPH1,0.02492509
MMAB,0.02492507
CSF3R,0.02492496
HABP4,0.024924608
DUOXA1,0.024924167
PLK2,0.024924055
DNM3,0.024922753
KIF3B,0.024921266
VEPH1,0.024921214
ERRFI1,0.024921188
IRF2BPL,0.02492109
CWC25,0.0249207
RIMS3,0.02492038
GRPEL2,0.02492007
CCT2,0.024919773
TMEM38B,0.024919145
ENY2,0.024918046
LIG1,0.024917832
SFT2D3,0.02491775
GNA15,0.024915831
R3HCC1,0.024915421
CD302,0.024914263
SH3RF2,0.024913633
GDI1,0.02491336
MGAT4A,0.024912626
KLF7,0.024912082
NUCKS1,0.02491176
WHSC1L1,0.024911752
SLC7A5,0.024911655
SRA1,0.024910899
ADCK5,0.024909744
ADM,0.024909228
LOC100289019,0.02490893
PLAC8,0.02490878
BMI1,0.024908738
C8orf82,0.02490857
LITAF,0.024908472
GALK2,0.024908427
PRKCSH,0.024908202
DOCK8,0.024907576
FBXO38,0.024906518
MXI1,0.024906162
CD96,0.024905672
ENTPD6,0.02490469
ZNF440,0.024903974
SPAST,0.024903573
C17orf75,0.024903499
PHOSPHO2-KLHL23,0.024903294
HPS1,0.024902813
PIN1,0.024901055
METAP2,0.02490091
SCAMP4,0.024900885
PIGA,0.024900774
GPR155,0.024900107
IQGAP3,0.02489886
NOTCH2NL,0.024898618
UTP23,0.024897905
PTPRO,0.024896355
MIPOL1,0.024896272
CLPTM1L,0.024895914
GTF2IRD1,0.0248949
KIAA0895,0.024893764
RNPC3,0.02489346
SLFN11,0.024893254
FCGRT,0.024892328
SKI,0.024892263
TMEM44,0.024892129
DHX35,0.02489138
APBA1,0.024891347
MICALL2,0.024890551
RAB14,0.024890093
NIPA2,0.024889506
RHOT1,0.024888633
DDX17,0.024888037
C1orf50,0.02488757
SPRYD4,0.024886958
GPR82,0.024886698
ZNF230,0.024886157
EYS,0.0248859
1-Mar,0.024885572
RFC2,0.024884816
CLIC2,0.02488307
STK16,0.024881987
OCEL1,0.024880644
TSNARE1,0.024880536
PES1,0.024880491
SRCAP,0.024880294
PLD3,0.024879416
VPS13C,0.02487842
GJC1,0.024877675
SPARC,0.024877511
HIGD1A,0.024877394
NQO2,0.0248772
JAM2,0.024875842
FAM118A,0.02487573
BACE2,0.024874806
RAP1GAP2,0.024874099
DMTF1,0.024873367
NDRG1,0.024872981
ECD,0.024872657
PYGL,0.024871921
OLFML2B,0.02487167
USP28,0.024871467
NKD2,0.02487114
TRAF3IP1,0.024869882
LASP1,0.02486924
TNRC6C,0.024868667
CUL3,0.024868451
BMP2,0.024868334
ZMYM2,0.024867883
MRPS21,0.024867585
C16orf70,0.024867292
LOC148413,0.024865618
UBR5,0.024865502
CSRP2BP,0.024865424
POGK,0.02486539
GCOM1,0.024862878
MFSD5,0.024862876
CTBP2,0.0248615
FGFR1OP2,0.0248605
DDX20,0.024860375
ZKSCAN2,0.024860373
MRPL4,0.024860058
KBTBD7,0.024859464
EBNA1BP2,0.024859458
NPLOC4,0.024859333
ITIH4,0.024859075
MRPS34,0.024859035
C10orf118,0.024858477
KLHL29,0.024857888
RBM42,0.024857797
PNPLA7,0.024856657
AARSD1,0.024856484
ZNF44,0.024856357
RNF152,0.0248563
PQLC1,0.024856247
FAM161A,0.02485612
LTBP1,0.024855902
DDX19B,0.024855742
IPCEF1,0.02485549
GMPR2,0.024854641
RAB3GAP2,0.024852486
MAD2L1,0.02485218
RASSF5,0.024852123
CX3CL1,0.024850545
F13A1,0.024850406
GLRX3,0.024849297
EPB41L3,0.024849055
FRMD4B,0.024848709
FAM46B,0.024848664
FGFR2,0.024848247
SLAMF6,0.024847385
CHST2,0.024847027
LRRC45,0.024846425
RGS18,0.0248464
DLEU1,0.02484607
ZYX,0.02484554
PDLIM7,0.024844443
MFAP1,0.024844147
TSEN34,0.024844043
MTFP1,0.024842061
METTL6,0.024841424
PPP1R3E,0.024840891
SMG5,0.024840355
SYNE1,0.024839913
GCNT1,0.024839507
PRNP,0.02483865
GEN1,0.024838597
LPAR2,0.024838552
CLN8,0.024838438
MEGF8,0.02483841
QSOX2,0.024838055
FEZ1,0.024837622
BIVM-ERCC5,0.024837146
RIPK3,0.024836637
MOCS2,0.024836458
TECR,0.02483642
C3orf14,0.024835855
THOC7,0.02483558
ATG2B,0.024835339
C19orf52,0.0248351
STK24,0.024833946
PLOD2,0.024833927
ZNF326,0.02483347
SLC44A1,0.024833018
ABHD6,0.024832278
ZNF737,0.024832219
TBC1D5,0.024832213
GEM,0.024832139
CD84,0.024831792
IBTK,0.024830423
HBS1L,0.024830086
C19orf12,0.024828186
TWSG1,0.02482728
MLF1,0.02482715
GALC,0.024825517
UNC93B1,0.024824867
TSNAX,0.024822239
ETV6,0.024821803
SULT1C2,0.024821756
GSPT1,0.024821723
CPEB3,0.02482093
ANKRD32,0.024820887
TBC1D17,0.024820054
IPW,0.024819821
UTP3,0.024819376
PTPRU,0.024819033
GSDMB,0.02481743
ARRDC1,0.024816869
ANKRD46,0.024816312
BCL2L2-PABPN1,0.024815911
PRR14,0.024815349
TMEM123,0.024814727
MLKL,0.024814416
SNORA38B,0.024814332
TNK2,0.024813855
HPS5,0.024813177
NRP2,0.024813047
TOMM40L,0.024812695
TRMT2A,0.024811948
DIS3L,0.02481106
GUK1,0.024811035
ABCC3,0.024810541
IL7,0.024810499
HMBS,0.024809897
GIMAP4,0.024809482
IGSF6,0.024808848
NPTN,0.024808398
ACADS,0.02480767
ATXN1,0.024807125
ANKMY2,0.024806296
C4orf19,0.024806032
SLC1A4,0.024805795
PLA2G12A,0.02480569
SGTA,0.024804821
LMO2,0.02480476
FPGS,0.024804585
PKN3,0.024803631
KIF21A,0.02480332
FMNL3,0.024802951
SNRNP48,0.024802126
APCDD1,0.024801219
PROS1,0.024801143
USP1,0.024801122
HERPUD2,0.02480102
CCDC71,0.02480066
DCAF5,0.024800548
PA2G4P4,0.0247997
ZNF646,0.024799589
LPGAT1,0.024799256
9-Mar,0.024798743
ATOX1,0.024798661
PYCR2,0.02479863
PDGFC,0.024798337
AP4E1,0.024798052
PPP1R12B,0.024797846
FKBP1A,0.02479747
MYO10,0.024797369
CAMLG,0.024796754
CD38,0.024794355
PCBD1,0.024793945
GPN3,0.024793772
YARS2,0.024793515
STAMBPL1,0.024793297
C6orf89,0.024793113
LNX2,0.024792818
CELSR1,0.024792312
ANK2,0.024792282
ZNF28,0.024791973
RBMX2,0.02479184
FXR1,0.02479169
SRSF5,0.024790963
MAN2A2,0.024790445
ANO10,0.024789818
ARHGAP4,0.02478951
EVI2B,0.024789337
CNOT3,0.024788836
TMEM223,0.024788145
AIM1,0.024787987
SLC35F5,0.024787694
PLOD3,0.024787197
ZNF571,0.024787093
STRADB,0.024785977
CBLB,0.024785696
RGL3,0.024785556
WDR55,0.024785046
THAP8,0.024784831
NAA16,0.024784436
WDR19,0.024783887
RPL22L1,0.024783853
FIS1,0.02478382
HNRNPF,0.024783121
DTX2,0.02478198
PPP1R9B,0.024781145
DPAGT1,0.024779487
TUSC2,0.02477887
DDX1,0.024778806
SLC35C1,0.024778778
DPT,0.024778217
POLRMT,0.024777586
RPLP2,0.024777394
MICALL1,0.024777051
ENGASE,0.02477673
CDKAL1,0.024775945
MID1,0.024775865
ALDH1A1,0.024775727
SLC26A11,0.02477562
SEC23B,0.024774974
SRD5A1,0.024774902
HIST1H2AG,0.024774672
DNAJC9,0.02477435
CLN5,0.024774326
LOC100130691,0.02477339
SMOC2,0.024773112
UBXN10,0.02477288
DTX3L,0.024772393
TMEM127,0.024772204
CCDC115,0.024772158
OXNAD1,0.02477214
HS3ST2,0.024771756
SETBP1,0.024771249
SLFN5,0.02477121
C4BPA,0.02477101
SH3BP5,0.02477094
HSD17B12,0.024769807
GTF3C4,0.0247697
EVI2A,0.024768827
ATP2A3,0.024768574
RBM7,0.024768226
DCAF16,0.024767546
HK1,0.024766807
ZNF30,0.024766427
PTPN4,0.024766322
STK10,0.024766209
MANF,0.024765966
FMO4,0.0247657
ZNF433,0.024765396
CIB1,0.02476537
SCARNA17,0.024765125
MUC1,0.024764502
ARHGDIB,0.024763908
THAP9,0.02476374
RAI2,0.024763705
NUP50,0.024763491
LOC440434,0.024762623
ENAH,0.024761824
SLC1A5,0.024761755
ATAD1,0.024760963
ISY1,0.024760721
IL13RA1,0.0247604
OTUD1,0.02475933
TEX261,0.024757652
NHSL1,0.024757382
LMAN2L,0.024756819
JKAMP,0.02475656
ZNF682,0.024756445
DHX9,0.02475644
TMEM203,0.02475623
SLC39A4,0.024754727
INMT,0.024754513
UPF1,0.024754234
MTHFD2,0.024753513
SCAPER,0.024753217
TSC22D2,0.02475213
ARHGAP25,0.024751786
AAK1,0.024751103
FAM3A,0.024750799
HCK,0.024749337
MUTYH,0.024749242
ZNF581,0.024749078
CTBS,0.024748655
MTMR10,0.024746768
PLP2,0.024746621
WRB,0.024746427
RSF1,0.02474627
CKS1B,0.02474529
GSS,0.024744334
HIST2H2BF,0.024742996
YPEL1,0.02474272
MBTPS2,0.02474155
C16orf89,0.024739983
ZNF100,0.024739945
FAM120AOS,0.024739891
NRIP2,0.024737589
