Term,Count,PValue,Genes,Fold Enrichment,Bonferroni,Benjamini,FDR
hsa04068:FoxO signaling pathway,82,5.56E-30,"CDKN1A, CDKN1B, PTEN, ARAF, PIK3CD, PRKAG2, IRS2, IKBKB, STK11, CCND1, AKT2, AKT3, TNFSF10, AKT1, EP300, HRAS, GABARAPL2, USP7, MAP2K1, MAP2K2, CHUK, PDPK1, CSNK1E, PRKAB1, SIRT1, TGFBR1, ATG12, TGFBR2, RBL2, PIK3CA, CAT, RAF1, SOS1, SOS2, PRKAA1, PRKAA2, AGAP2, PIK3R3, PIK3R2, PIK3R1, FOXO4, FOXO3, STK4, NLK, FOXO1, EGFR, CCNB2, MAPK9, MAPK8, CCNB1, BCL2L11, MAPK1, MAPK3, PCK2, CDKN2D, PLK4, PLK3, TGFB2, CDKN2B, CREBBP, SMAD4, TGFB1, SMAD3, TGFB3, PLK2, BNIP3, STAT3, BRAF, IGF1, MAPK14, MAPK12, KLF2, MAPK13, MAPK10, MAPK11, BCL6, CDK2, MDM2, KRAS, GRB2, ATM, IL7R",3.553352315,1.78E-27,8.92E-29,3.17E-29
hsa04151:PI3K-Akt signaling pathway,152,1.06E-29,"ATF2, PPP2R2A, FGF2, CCND3, STK11, CCND1, PPP2R1B, CREB3L4, PPP2R1A, MYC, CREB3L1, AKT2, AKT3, CREB3L2, AKT1, PDGFRB, IFNAR2, MAP2K1, MAP2K2, HGF, RPS6, TSC1, PRKCA, COL4A2, COL4A1, COL4A4, COL4A3, COL4A5, RAF1, TP53, IFNAR1, ATF4, PDGFB, PDGFA, PIK3R3, TGFA, PIK3R2, PIK3R1, FOXO3, EFNA5, HSP90B1, PIK3R5, BCL2L11, PDGFC, PCK2, FN1, IGF1, GNG12, GNG11, NFKB1, EFNA1, COL1A1, CDK6, COL1A2, IL7, CDK4, GNB2, GNB1, CDK2, BCL2, MDM2, GNB4, GRB2, COL9A2, GNB5, IL7R, BCL2L1, FGFR1, ITGB1, YWHAE, CDKN1A, CDKN1B, ITGB5, YWHAB, ITGB4, ITGB3, PTEN, PIK3CD, LAMC2, BRCA1, PIK3CG, CASP9, RPTOR, IKBKB, YWHAQ, PPP2R5E, MLST8, ITGAV, ITGB7, IKBKG, ITGB6, RAC1, JAK2, JAK3, HRAS, YWHAG, YWHAH, JAK1, HSP90AA1, CHUK, SYK, PDPK1, ITGA3, ITGA2, ITGA1, PPP2R5B, PPP2R5A, PPP2R5D, PPP2R5C, YWHAZ, RBL2, CREB3, CREB1, PIK3CA, COL6A2, COL6A1, ITGA7, COL6A6, ITGA6, ITGA5, SOS1, MET, TLR4, SOS2, ITGA9, CREB5, LAMA5, PRKAA1, PRKAA2, LAMA2, LAMA4, LAMA3, RELA, EGFR, PPP2CA, PPP2CB, GNG2, RXRA, GNG5, PPP2R3C, ERBB2, MAPK1, EIF4B, MAPK3, LAMB3, BAD, LAMB2, PPP2R3A, KITLG, RPS6KB1, RPS6KB2, KRAS",2.437451815,3.39E-27,1.61E-28,5.73E-29
"hsa04935:Growth hormone synthesis, secretion and action",77,1.50E-29,"ATF2, PIK3CD, IRS2, CRKL, CREB3L4, AKT2, CREB3L1, AKT3, CREB3L2, AKT1, EP300, JAK2, PRKACA, PRKACB, HRAS, MAP2K3, MAP2K4, MAP2K1, MAP2K2, PRKCA, FOS, CREB3, PLCB3, PLCB4, CREB1, ADCY9, PIK3CA, RAF1, SOS1, PLCB2, CRK, SOS2, ATF4, CREB5, SHC2, SHC3, SHC1, ADCY4, GNAI3, ITPR1, PIK3R3, ADCY3, ITPR2, CACNA1D, PIK3R2, ITPR3, CACNA1C, PIK3R1, ADCY7, GNAI1, ADCY6, GNAI2, MAPK9, MAPK8, SOCS1, GNA11, PLCG2, MAPK1, PLCG1, MAPK3, MAP2K6, STAT5B, CREBBP, MAP3K1, STAT1, STAT3, IGF1, MAPK14, MAPK12, MAPK13, MAPK10, MAPK11, GNAQ, GNAS, KRAS, GRB2, BCAR1",3.673156876,4.81E-27,2.19E-28,7.77E-29
hsa05135:Yersinia infection,82,4.64E-28,"ITGB1, ARPC1B, ARPC1A, ARPC5L, PIK3CD, ACTB, ACTG1, CRKL, PYCARD, IKBKB, TBK1, AKT2, AKT3, CASP1, RAC2, AKT1, IKBKG, RAC1, MAP3K7, VAV3, MAP2K3, MAP2K4, MAP2K1, MAP2K2, CHUK, IL18, TRAF2, FOS, IRAK4, TICAM1, RHOA, VAV1, VAV2, ZAP70, PIK3CA, IRF3, LCK, TRAF6, ELMO1, ITGA5, TLR4, CRK, ROCK2, WAS, PIK3R3, PIK3R2, PIK3R1, RELA, CDC42, MAPK9, MAPK8, IRAK1, PIP5K1A, MAPK1, PIP5K1B, PLCG1, PIP5K1C, MAP2K7, MAPK3, MAP2K6, JUN, FN1, NFATC3, NFATC2, ARPC4, ARPC5, MAPK14, MAPK12, NFKB1, MAPK13, NFKBIA, MAPK10, MAPK11, CD4, FCGR2A, ARPC2, ARPC3, GNAQ, TAB2, TAB1, LAT, BCAR1",3.397731046,1.49E-25,6.47E-27,2.30E-27
hsa04722:Neurotrophin signaling pathway,75,1.04E-27,"YWHAE, PIK3CD, CRKL, IKBKB, AKT2, ARHGDIB, AKT3, AKT1, RAC1, HRAS, MAP2K1, MAP2K2, PDPK1, RIPK2, PRKCD, GAB1, IRAK4, RHOA, PIK3CA, TRAF6, MAPKAPK2, RAPGEF1, RAF1, SOS1, TP53, CRK, SOS2, ATF4, SHC2, CAMK2D, SHC3, MAGED1, SHC1, PSEN2, PIK3R3, PIK3R2, PIK3R1, FOXO3, RELA, RAP1B, CDC42, MAPK9, MAPK8, RAP1A, IRAK1, ABL1, PLCG2, MAPK1, PLCG1, MAP2K7, CAMK2G, MAPK3, JUN, MAP3K1, SORT1, BAD, PTPN11, BRAF, MAPK14, MAPK12, NFKB1, MAPK13, NFKBIA, MAPK10, MAPK11, CAMK4, BCL2, BAX, KRAS, CALM3, GRB2, CALM1, NFKBIE, CALM2, NFKBIB",3.577750204,3.33E-25,1.39E-26,4.93E-27
hsa05132:Salmonella infection,118,1.21E-27,"ARPC5L, ACTB, ACTG1, PYCARD, TUBB6, TUBB3, MYC, AKT2, KIF5B, AKT3, TNFSF10, AKT1, MAP3K7, SKP1, KPNA1, MAP2K3, MAP2K4, MAP2K1, MAP2K2, TUBA4A, DYNC1LI2, ELMO1, RAF1, MYL9, RAB5C, TCF7, LY96, MYL12A, HSP90B1, MYL12B, DYNC2LI1, KLC4, IRAK1, RIPK1, FADD, CD14, MAP2K7, MAP2K6, JUN, TNFRSF10A, ARPC4, ARPC5, NFKB1, NFKBIA, PTPRC, ARPC2, ARPC3, BCL2, TAB3, CYCS, TAB2, TAB1, RAB5A, ARF1, ARPC1B, ARPC1A, PIK3CD, PIK3C2A, PIK3CG, PIK3C2B, IKBKB, TUBA1C, CASP7, TUBA1B, ACTR1A, CASP8, ACTR1B, CASP3, CASP1, IKBKG, RAC1, HRAS, HSP90AA1, RIPK3, CHUK, RIPK2, IL18, TRAF2, FOS, IRAK4, DYNLL1, DYNLL2, RHOA, TNFRSF1A, TUBB2A, PIK3CA, TRAF6, PIK3C3, GAPDH, TLR4, BIRC2, BIRC3, DYNC1I2, RALA, DCTN2, ROCK2, DCTN1, DCTN4, DCTN3, RELA, CDC42, MAPK9, MAPK8, RPS3, FLNA, MAPK1, BAK1, MAPK3, TCF7L2, DYNC1H1, TCF7L1, MAPK14, MAPK12, MAPK13, MAPK10, MAPK11, BAX, CTNNB1",2.690161626,3.88E-25,1.55E-26,5.51E-27
hsa04062:Chemokine signaling pathway,100,1.62E-27,"NCF1, CXCL16, CRKL, AKT2, AKT3, AKT1, PRKACA, PRKACB, MAP2K1, PRKCD, TIAM1, ADCY9, ELMO1, RAF1, SHC2, SHC3, SHC1, PIK3R3, PIK3R2, PIK3R1, FOXO3, PRKCZ, PIK3R5, RAP1B, RAP1A, PLCG2, PLCG1, LYN, STAT5B, BRAF, GNG12, GNG11, NFKB1, NFKBIA, CXCL10, CXCL12, GNAQ, GNB2, GNB1, GNB4, GRB2, GNB5, NFKBIB, GSK3A, PIK3CD, ARRB1, ARRB2, CXCL2, PIK3CG, CX3CL1, IKBKB, RAC2, IKBKG, RAC1, JAK2, CCR5, JAK3, HRAS, CCR4, VAV3, CHUK, RHOA, VAV1, VAV2, HCK, PLCB3, PLCB4, PIK3CA, DOCK2, SOS1, CRK, PLCB2, SOS2, ROCK2, ADCY4, WAS, GNAI3, ADCY3, CXCR4, ADCY7, RELA, ADCY6, GNAI1, GNAI2, CDC42, GNG2, GNG5, CCL5, CCL3, MAPK1, CCL18, MAPK3, CCL22, BAD, STAT1, STAT2, STAT3, KRAS, CCL28, BCAR1",2.956613016,5.21E-25,2.01E-26,7.12E-27
hsa04660:T cell receptor signaling pathway,69,1.84E-27,"PIK3CD, CBLB, CD3D, IKBKB, PPP3CA, PPP3CB, PPP3CC, AKT2, AKT3, NCK2, AKT1, MAP3K8, IKBKG, HRAS, MAP3K7, VAV3, MAP2K1, MAP2K2, CHUK, PDPK1, FOS, RHOA, VAV1, VAV2, ZAP70, PIK3CA, LCK, PRKCQ, RAF1, SOS1, SOS2, PIK3R3, PIK3R2, PIK3R1, RASGRP1, MALT1, RELA, CDC42, MAPK9, PPP3R1, MAPK8, MAPK1, FYN, PLCG1, MAP2K7, PAK2, PAK4, MAPK3, JUN, NFATC3, NFATC2, MAPK14, MAPK12, NFKB1, MAPK13, NFKBIA, MAPK10, MAPK11, CD4, PTPRC, TEC, CDK4, CD28, KRAS, GRB2, NFKBIE, MAP3K14, LAT, NFKBIB",3.766270119,5.90E-25,2.18E-26,7.76E-27
hsa05215:Prostate cancer,66,3.13E-27,"RB1, CDKN1A, CDKN1B, PTEN, ARAF, PIK3CD, CASP9, IKBKB, CCND1, PLAU, CREB3L4, AKT2, CREB3L1, AKT3, CREB3L2, AKT1, EP300, IKBKG, HRAS, PDGFRB, MAP2K1, HSP90AA1, MAP2K2, CHUK, PDPK1, CREB3, CREB1, PIK3CA, RAF1, SOS1, TP53, SOS2, ATF4, CREB5, TCF7, PDGFB, PDGFA, PIK3R3, TGFA, PIK3R2, PIK3R1, FOXO1, EGFR, RELA, HSP90B1, ERBB2, PDGFC, E2F1, MAPK1, E2F3, MAPK3, TCF7L2, CREBBP, TCF7L1, BAD, BRAF, IGF1, NFKB1, NFKBIA, CDK2, BCL2, MDM2, CTNNB1, KRAS, GRB2, FGFR1",3.86249486,1.00E-24,3.59E-26,1.27E-26
hsa05016:Huntington disease,134,3.59E-27,"NDUFA11, NDUFA12, PSMD8, PSMD9, PSMD6, TUBB6, PSMD7, PSMD4, CREB3L4, TUBB3, PSMD2, CREB3L1, KIF5B, PSMD3, CREB3L2, PSMD1, EP300, AP2M1, SDHD, SDHB, TUBA4A, ERN1, UQCRC1, TP53, PSMD12, PSMD11, NDUFB10, UQCRB, PSMD14, NDUFB11, PSMD13, ITPR1, KLC4, NDUFV3, NDUFV2, MAP2K7, CREBBP, SP1, GNAQ, CYCS, TAF4B, DNAL4, CLTC, CLTB, CLTA, AP2A1, CASP9, TUBA1C, TUBA1B, ACTR1A, CASP8, ACTR1B, SIN3A, CASP3, UQCRFS1, GPX1, TBP, APAF1, GPX7, NDUFC2, TRAF2, NDUFC1, PSMA5, PSMA6, CREB3, PSMA3, PLCB3, PSMA4, CREB1, TUBB2A, NDUFS8, PLCB4, NDUFS7, PSMA1, PSMA2, NDUFS6, NDUFS5, NDUFS4, NDUFS2, PIK3C3, PLCB2, CREB5, NDUFB9, NDUFB8, HDAC2, NDUFB7, DCTN2, NDUFB6, DCTN1, NDUFB4, DCTN4, DCTN3, NDUFB2, NDUFB1, UQCR11, COX5A, PSMA7, PSMB6, MAPK9, PSMB4, MAPK8, PSMB5, POLR2A, PSMB2, POLR2B, PSMB3, POLR2C, POLR2D, PSMB1, POLR2E, AP2S1, POLR2F, POLR2G, POLR2H, POLR2I, POLR2K, POLR2L, NDUFA8, NDUFA6, NDUFA4, NDUFA3, NDUFA2, NDUFA1, AP2B1, MAPK10, PSMC5, PSMC6, PSMC3, PSMC4, PSMC1, PSMC2, NDUFAB1, BAX, TAF4",2.485873846,1.15E-24,3.97E-26,1.41E-26
hsa05014:Amyotrophic lateral sclerosis,150,5.12E-27,"NDUFA11, NUP188, NDUFA12, ACTB, ACTG1, PSMD8, PSMD9, PSMD6, TUBB6, PSMD7, TBK1, PSMD4, TUBB3, PSMD2, KIF5B, PSMD3, PSMD1, NUP214, MAP2K3, NUP210, SDHD, SDHB, TUBA4A, ERN1, NUP93, UQCRC1, NUP98, SRSF7, SQSTM1, TP53, ATF4, PSMD12, NUP205, POM121, VCP, SEH1L, PSMD11, NDUFB10, UQCRB, PSMD14, NDUFB11, PSMD13, ITPR3, NUP160, KLC4, PPP3R1, POM121C, NUP85, TPR, NUP88, NDUFV3, NDUFV2, MAP2K6, XBP1, NUP155, EIF2AK3, EIF2S1, BCL2, CYCS, DNAL4, RAB5A, BCL2L1, NXT1, CASP9, TUBA1C, PPP3CA, TUBA1B, ACTR1A, PPP3CB, ACTR1B, PPP3CC, CASP3, NUP62, CASP1, UQCRFS1, RAC1, SEC13, GPX1, APAF1, NCBP1, NUP133, GPX7, NDUFC2, TRAF2, NDUFC1, TNFRSF1A, PSMA5, PSMA6, PSMA3, PSMA4, TUBB2A, NDUFS8, NDUFS7, PSMA1, PSMA2, NDUFS6, NUP50, NDUFS5, CAT, NDUFS4, NDUFS2, NUP54, PIK3C3, NDUFB9, RAB1A, NDUFB8, NDUFB7, DCTN2, NDUFB6, DCTN1, NDUFB4, DCTN4, DCTN3, NDUFB2, NDUFB1, UQCR11, COX5A, HDAC6, PSMA7, PSMB6, NXF1, PSMB4, PSMB5, PSMB2, PSMB3, PSMB1, NUP43, RAE1, RANBP2, NDUFA8, NDUFA6, BAD, NDUFA4, NDUFA3, NDUFA2, NDUFA1, MAPK14, MAPK12, MAPK13, MAPK11, PSMC5, PSMC6, PSMC3, PSMC4, PSMC1, PSMC2, NDUFAB1, BAX, NUP35, NUP37",2.339298211,1.64E-24,5.48E-26,1.94E-26
hsa05010:Alzheimer disease,154,3.06E-26,"NDUFA11, NDUFA12, ARAF, IRS2, PSMD8, PSMD9, PSMD6, TUBB6, PSMD7, PSMD4, TUBB3, PSMD2, AKT2, KIF5B, AKT3, PSMD3, CAPN2, PSMD1, AKT1, SLC39A1, MAP2K1, MAP2K2, CSNK2A2, CYBB, ADAM10, CSNK1E, SDHD, SDHB, TUBA4A, ERN1, UQCRC1, RAF1, ATF4, PSMD12, PSMD11, NDUFB10, UQCRB, PSMD14, NDUFB11, PSMD13, PSEN2, ITPR1, PIK3R3, ITPR2, CACNA1D, ITPR3, PIK3R2, CACNA1C, PIK3R1, APH1A, KLC4, PPP3R1, APH1B, FADD, APOE, NDUFV3, NDUFV2, MAP2K7, XBP1, EIF2AK3, EIF2AK2, BRAF, EIF2S1, NFKB1, CDK5, GNAQ, CYCS, CALM3, CALM1, CALM2, ATP2A3, PIK3CD, ATP2A2, IDE, CASP9, IKBKB, TUBA1C, PPP3CA, CASP7, TUBA1B, PPP3CB, CASP8, PPP3CC, CASP3, UQCRFS1, IKBKG, HRAS, APAF1, CHUK, MME, NDUFC2, TRAF2, NDUFC1, TNFRSF1A, PSMA5, PSMA6, PSMA3, PLCB3, PSMA4, TUBB2A, NDUFS8, PLCB4, NDUFS7, PSMA1, PIK3CA, PSMA2, NDUFS6, NDUFS5, NDUFS4, NDUFS2, PIK3C3, GAPDH, PLCB2, NDUFB9, NDUFB8, NDUFB7, NDUFB6, NDUFB4, NDUFB2, NDUFB1, UQCR11, COX5A, PSMA7, RELA, LRP6, PSMB6, MAPK9, PSMB4, MAPK8, PSMB5, PSMB2, PSMB3, PSMB1, MAPK1, APBB1, MAPK3, NDUFA8, NDUFA6, BAD, NDUFA4, NDUFA3, NDUFA2, NDUFA1, MAPK10, PSMC5, PSMC6, PSMC3, PSMC4, PSMC1, PSMC2, NDUFAB1, FAS, CTNNB1, KRAS",2.276592022,9.83E-24,3.11E-25,1.10E-25
hsa05222:Small cell lung cancer,63,3.10E-26,"RB1, ITGB1, CDKN1A, CDKN1B, PTEN, PIK3CD, LAMC2, CKS1B, CASP9, IKBKB, CCND1, MYC, CASP3, AKT2, AKT3, AKT1, ITGAV, IKBKG, POLK, APAF1, CHUK, ITGA3, ITGA2, TRAF2, TRAF1, COL4A2, PIK3CA, COL4A1, COL4A4, TRAF6, COL4A3, COL4A5, ITGA6, TP53, BIRC2, BIRC3, LAMA5, LAMA2, MAX, LAMA4, LAMA3, PIK3R3, XIAP, PIK3R2, PIK3R1, RELA, RXRA, E2F1, E2F3, BAK1, CDKN2B, LAMB3, LAMB2, FN1, NFKB1, NFKBIA, CDK6, CDK4, CDK2, BCL2, CYCS, BAX, BCL2L1",3.887303374,9.94E-24,3.11E-25,1.10E-25
hsa04933:AGE-RAGE signaling pathway in diabetic complications,66,4.42E-26,"CDKN1B, PIK3CD, ICAM1, CCND1, CASP3, AKT2, AKT3, AKT1, PLCE1, RAC1, JAK2, HRAS, PRKCE, MMP2, PRKCD, CYBB, PRKCA, TGFBR1, TGFBR2, PLCB3, PLCB4, COL4A2, PIK3CA, COL4A1, COL4A4, COL4A3, COL4A5, PLCB2, PIK3R3, PIK3R2, PIK3R1, PRKCZ, FOXO1, RELA, CDC42, MAPK9, MAPK8, PLCG2, MAPK1, PLCG1, MAPK3, SMAD2, STAT5B, TGFB2, JUN, SMAD4, TGFB1, VCAM1, SMAD3, TGFB3, STAT1, STAT3, FN1, MAPK14, MAPK12, NFKB1, MAPK13, MAPK10, COL1A1, MAPK11, COL3A1, COL1A2, CDK4, BCL2, BAX, KRAS",3.746620014,1.42E-23,4.30E-25,1.53E-25
hsa05160:Hepatitis C,86,1.09E-25,"RB1, YWHAE, CDKN1A, YWHAB, ARAF, PIK3CD, PPP2R2A, CASP9, IKBKB, TBK1, CASP8, PPP2R1B, CCND1, YWHAQ, PPP2R1A, MYC, CASP3, AKT2, AKT3, AKT1, IKBKG, IKBKE, HRAS, YWHAG, JAK1, YWHAH, IFNAR2, MAP2K1, MAP2K2, APAF1, CHUK, TRAF2, TYK2, TICAM1, YWHAZ, TNFRSF1A, PIK3CA, IRF3, TRAF6, PSME3, IRF7, RAF1, PPARA, SOS1, TP53, SOS2, IRF9, TLR3, IFNAR1, PIK3R3, PIK3R2, PIK3R1, EGFR, RELA, PPP2CA, PPP2CB, RXRA, E2F1, MAPK1, RIPK1, E2F3, BAK1, FADD, MAPK3, BAD, STAT1, STAT2, STAT3, EIF2AK3, EIF2AK2, BRAF, EIF2AK4, EIF2S1, NFKB1, NFKBIA, CXCL10, MAVS, CDK6, CDK4, CDK2, CYCS, BAX, CTNNB1, FAS, KRAS, GRB2",3.109528288,3.51E-23,1.03E-24,3.67E-25
hsa05235:PD-L1 expression and PD-1 checkpoint pathway in cancer,61,1.93E-25,"PTEN, PIK3CD, CD3D, IKBKB, PPP3CA, PPP3CB, PPP3CC, AKT2, AKT3, AKT1, IKBKG, JAK2, HRAS, JAK1, MAP2K3, MAP2K1, MAP2K2, CHUK, IFNGR1, IFNGR2, CSNK2A2, FOS, TICAM1, ZAP70, PIK3CA, LCK, TRAF6, PRKCQ, RAF1, TLR4, PIK3R3, PIK3R2, PIK3R1, RASGRP1, EGFR, RELA, PPP3R1, MAPK1, PLCG1, MAPK3, MAP2K6, JUN, STAT1, STAT3, NFATC3, NFATC2, PTPN11, MAPK14, MAPK12, NFKB1, MAPK13, NFKBIA, MAPK11, CD4, RPS6KB1, RPS6KB2, CD28, KRAS, NFKBIE, LAT, NFKBIB",3.890769848,6.21E-23,1.77E-24,6.30E-25
hsa04666:Fc gamma R-mediated phagocytosis,64,2.76E-25,"NCF1, ARPC1B, ARPC1A, INPPL1, ARPC5L, PIK3CD, CRKL, FCGR3A, AKT2, AKT3, CFL1, RAC2, AKT1, RAC1, VAV3, MAP2K1, SYK, SPHK2, SPHK1, PRKCE, PLA2G4C, PRKCD, PLA2G4A, PRKCA, GAB2, VAV1, VAV2, HCK, PIK3CA, BIN1, RAF1, CRK, WAS, PIK3R3, PIK3R2, ASAP1, ASAP2, PIK3R1, PLA2G6, PLD2, CDC42, SCIN, INPP5D, PLCG2, PIP5K1A, MAPK1, PIP5K1B, PLCG1, PIP5K1C, FCGR1A, MAPK3, LYN, VASP, MARCKSL1, MYO10, ARPC4, ARPC5, PTPRC, FCGR2A, RPS6KB1, ARPC2, ARPC3, RPS6KB2, LAT",3.745449561,8.85E-23,2.46E-24,8.73E-25
hsa01522:Endocrine resistance,64,6.40E-25,"RB1, CDKN1A, CDKN1B, ARAF, PIK3CD, CCND1, AKT2, AKT3, AKT1, PRKACA, PRKACB, HRAS, MAP2K1, MAP2K2, MMP2, FOS, NCOR1, ADCY9, PIK3CA, RAF1, SOS1, TP53, SOS2, NOTCH2, NOTCH3, SHC2, SHC3, SHC1, ADCY4, PIK3R3, ADCY3, PIK3R2, PIK3R1, ADCY7, EGFR, ADCY6, MAPK9, MAPK8, ERBB2, E2F1, MAPK1, E2F3, MAPK3, JUN, CDKN2A, BAD, BRAF, IGF1, MAPK14, MAPK12, MAPK13, MAPK10, MAPK11, RPS6KB1, SP1, CDK4, CARM1, RPS6KB2, BCL2, GNAS, MDM2, BAX, KRAS, GRB2",3.707230688,2.06E-22,5.56E-24,1.97E-24
hsa05210:Colorectal cancer,59,1.21E-24,"CDKN1A, ARAF, PIK3CD, CASP9, CCND1, MYC, CASP3, AKT2, AKT3, RAC2, AKT1, POLK, RAC1, HRAS, MAP2K1, MAP2K2, FOS, RHOA, TGFBR1, TGFBR2, PIK3CA, RAF1, SOS1, TP53, SOS2, RALA, TCF7, PIK3R3, TGFA, PIK3R2, PIK3R1, EGFR, MAPK9, MAPK8, BCL2L11, MAPK1, BAK1, RALGDS, MAPK3, SMAD2, TCF7L2, TGFB2, JUN, TCF7L1, SMAD4, TGFB1, SMAD3, TGFB3, BAD, BRAF, MAPK10, RPS6KB1, RPS6KB2, BCL2, CYCS, BAX, CTNNB1, KRAS, GRB2",3.894478168,3.87E-22,1.02E-23,3.62E-24
hsa04110:Cell cycle,73,8.07E-24,"RB1, YWHAE, CDKN1A, CDKN1B, YWHAB, BUB1B, SMC3, CDC20, CCND3, CDC23, CCND1, YWHAQ, MYC, CDC26, CHEK2, CHEK1, CDC27, EP300, YWHAG, SKP1, YWHAH, ANAPC7, SMC1A, YWHAZ, CDC25B, RBX1, RBL2, CCNA2, ANAPC4, ANAPC5, TP53, ANAPC1, ANAPC2, HDAC2, PCNA, ANAPC16, PRKDC, CUL1, ANAPC10, ANAPC11, CCNB2, FZR1, CCNB1, RAD21, ABL1, E2F1, E2F3, SFN, BUB3, BUB1, CDKN2D, SMAD2, TGFB2, CDKN2B, CREBBP, SMAD4, TGFB1, SMAD3, TGFB3, CDKN2A, MAD2L2, STAG1, CDK7, STAG2, CDK6, CDK4, CDC16, CDK2, CDK1, MDM2, ATM, ATR, MAD2L1",3.288880003,2.59E-21,6.64E-23,2.36E-23
hsa05142:Chagas disease,64,1.57E-23,"PIK3CD, PPP2R2A, CD3D, IKBKB, CASP8, PPP2R1B, PPP2R1A, AKT2, AKT3, AKT1, IKBKG, MAP2K4, CHUK, IFNGR1, IFNGR2, FOS, IRAK4, TICAM1, TGFBR1, TGFBR2, TNFRSF1A, PLCB3, PLCB4, PIK3CA, TRAF6, TLR4, PLCB2, GNAI3, PIK3R3, PIK3R2, PIK3R1, RELA, GNAI1, GNAI2, PPP2CA, C3, PPP2CB, MAPK9, GNA15, MAPK8, IRAK1, GNA11, CCL5, CCL3, MAPK1, FADD, MAPK3, SMAD2, TGFB2, JUN, TGFB1, TGFB3, MAPK14, MAPK12, NFKB1, MAPK13, NFKBIA, MAPK10, MAPK11, GNAL, GNAQ, GNAS, FAS, CALR",3.561849092,5.03E-21,1.26E-22,4.47E-23
hsa04218:Cellular senescence,82,5.87E-23,"RB1, CDKN1A, PTEN, PIK3CD, ETS1, PPP1CB, PPP3CA, PPP1CC, CCND3, PPP3CB, PPP3CC, CCND1, MYC, CHEK2, AKT2, AKT3, CHEK1, CAPN2, AKT1, NBN, HRAS, MAP2K3, MAP2K1, MAP2K2, HUS1, TSC1, SIRT1, TGFBR1, TGFBR2, RBL2, CCNA2, PIK3CA, MAPKAPK2, RAF1, SQSTM1, TP53, ITPR1, PIK3R3, ITPR2, CACNA1D, PIK3R2, ITPR3, PIK3R1, FOXO3, FOXO1, RELA, CCNB2, PPP3R1, CCNB1, E2F1, MAPK1, E2F3, MAPK3, MAP2K6, SMAD2, TGFB2, CDKN2B, TGFB1, SMAD3, TGFB3, CDKN2A, NFATC3, NFATC2, MAPK14, MAPK12, NFKB1, MAPK13, PPP1CA, MAPK11, RAD50, CDK6, CDK4, CDK2, CDK1, MDM2, KRAS, CALM3, RAD1, ATM, CALM1, CALM2, ATR",2.983904829,1.88E-20,4.59E-22,1.63E-22
hsa05203:Viral carcinogenesis,97,6.63E-23,"RB1, ATF2, HDAC11, CDC20, CCND3, CCND1, CREB3L4, CREB3L1, CHEK1, CREB3L2, EP300, PRKACA, PRKACB, USP7, ACTN1, ACTN4, MAPKAPK2, ATP6V0D1, TP53, ATF4, PIK3R3, PIK3R2, PIK3R1, C3, SCIN, LYN, STAT5B, CREBBP, JUN, EIF2AK2, NFKB1, NFKB2, NFKBIA, HNRNPK, SNW1, CDK6, CDK4, CDK2, MDM2, CDK1, GRB2, YWHAE, CDKN1A, CDKN1B, YWHAB, PIK3CD, CHD4, CASP8, YWHAQ, CASP3, IKBKG, RAC1, CCR5, JAK3, HRAS, CCR4, YWHAG, YWHAH, JAK1, TBP, SYK, TRAF2, TRAF1, YWHAZ, RHOA, RBL2, DDB1, CCNA2, CREB3, KAT2A, CREB1, IRF3, PIK3CA, RASA2, IRF7, IRF9, CREB5, SP100, HDAC2, HDAC3, HDAC8, HDAC6, RELA, HDAC7, CDC42, MAPK1, BAK1, MAPK3, CDKN2B, CDKN2A, BAD, STAT3, GTF2H1, GTF2H3, PSMC1, BAX, KRAS",2.699213765,2.13E-20,5.07E-22,1.80E-22
hsa05205:Proteoglycans in cancer,97,1.04E-22,"ARAF, FGF2, ELK1, ACTB, ACTG1, PPP1CB, PPP1CC, CCND1, PLAU, MYC, AKT2, AKT3, AKT1, PLCE1, PRKACA, PRKACB, MAP2K1, MAP2K2, HGF, RPS6, PRKCA, TIAM1, RAF1, TP53, ITPR1, PIK3R3, ITPR2, ITPR3, PIK3R2, PIK3R1, SLC9A1, PLCG2, PLCG1, SMAD2, TGFB2, TGFB1, CAV1, FN1, BRAF, IGF1, COL1A1, COL1A2, MDM2, GRB2, FGFR1, ITGB1, CDKN1A, ITGB5, ITGB3, PIK3CD, CASP3, ITGAV, RAC1, HRAS, VAV3, PDPK1, ITGA2, MMP2, GAB1, DCN, RHOA, VAV1, VAV2, PIK3CA, CTTN, HCLS1, ITGA5, PPP1R12B, SOS1, MET, TLR4, SOS2, CD44, CAMK2D, ROCK2, CBL, EGFR, CDC42, GPC1, ERBB2, FLNA, MAPK1, CAMK2G, EIF4B, MAPK3, STAT3, PTPN11, MAPK14, MAPK12, PPP1CA, MAPK13, MAPK11, RPS6KB1, RPS6KB2, FAS, CTNNB1, KRAS",2.686046869,3.33E-20,7.74E-22,2.75E-22
